ticker,industry,run_time
DSS,construction__materials,2024-06-19 01:07:47
TBX,construction__materials,2024-06-19 01:07:47
SCL,construction__materials,2024-06-19 01:07:47
PVA,construction__materials,2024-06-19 01:07:47
PXI,construction__materials,2024-06-19 01:07:47
TTC,construction__materials,2024-06-19 01:07:47
VHH,construction__materials,2024-06-19 01:07:47
HTI,construction__materials,2024-06-19 01:07:47
QNT,construction__materials,2024-06-19 01:07:47
HVX,construction__materials,2024-06-19 01:07:47
CRC,construction__materials,2024-06-19 01:07:47
CT6,construction__materials,2024-06-19 01:07:47
HCI,construction__materials,2024-06-19 01:07:47
HEJ,construction__materials,2024-06-19 01:07:47
GMH,construction__materials,2024-06-19 01:07:47
STV,construction__materials,2024-06-19 01:07:47
PHH,construction__materials,2024-06-19 01:07:47
LUT,construction__materials,2024-06-19 01:07:47
RCD,construction__materials,2024-06-19 01:07:47
LHC,construction__materials,2024-06-19 01:07:47
L12,construction__materials,2024-06-19 01:07:47
LAI,construction__materials,2024-06-19 01:07:47
MES,construction__materials,2024-06-19 01:07:47
MST,construction__materials,2024-06-19 01:07:47
VTV,construction__materials,2024-06-19 01:07:47
BDC,construction__materials,2024-06-19 01:07:47
V45,construction__materials,2024-06-19 01:07:47
VC7,construction__materials,2024-06-19 01:07:47
THO,construction__materials,2024-06-19 01:07:47
TVG,construction__materials,2024-06-19 01:07:47
DXD,construction__materials,2024-06-19 01:07:47
XLV,construction__materials,2024-06-19 01:07:47
SDX,construction__materials,2024-06-19 01:07:47
SDY,construction__materials,2024-06-19 01:07:47
ASD,construction__materials,2024-06-19 01:07:47
BTN,construction__materials,2024-06-19 01:07:47
SCI,construction__materials,2024-06-19 01:07:47
G36,construction__materials,2024-06-19 01:07:47
VCE,construction__materials,2024-06-19 01:07:47
SGV,construction__materials,2024-06-19 01:07:47
TCD,construction__materials,2024-06-19 01:07:47
TEC,construction__materials,2024-06-19 01:07:47
PVV,construction__materials,2024-06-19 01:07:47
VE4,construction__materials,2024-06-19 01:07:47
PXS,construction__materials,2024-06-19 01:07:47
VGC,construction__materials,2024-06-19 01:07:47
QNC,construction__materials,2024-06-19 01:07:47
PHC,construction__materials,2024-06-19 01:07:47
LDU,construction__materials,2024-06-19 01:07:47
HU1,construction__materials,2024-06-19 01:07:47
HU4,construction__materials,2024-06-19 01:07:47
ICS,construction__materials,2024-06-19 01:07:47
ICC,construction__materials,2024-06-19 01:07:47
CC4,construction__materials,2024-06-19 01:07:47
GKM,construction__materials,2024-06-19 01:07:47
LM3,construction__materials,2024-06-19 01:07:47
LM8,construction__materials,2024-06-19 01:07:47
DC2,construction__materials,2024-06-19 01:07:47
BDT,construction__materials,2024-06-19 01:07:47
DNP,construction__materials,2024-06-19 01:07:47
CDR,construction__materials,2024-06-19 01:07:47
FIC,construction__materials,2024-06-19 01:07:47
DVW,construction__materials,2024-06-19 01:07:47
EIC,construction__materials,2024-06-19 01:07:47
FCM,construction__materials,2024-06-19 01:07:47
GAB,construction__materials,2024-06-19 01:07:47
C36,construction__materials,2024-06-19 01:07:47
HC3,construction__materials,2024-06-19 01:07:47
HHV,construction__materials,2024-06-19 01:07:47
PLE,construction__materials,2024-06-19 01:07:47
LCD,construction__materials,2024-06-19 01:07:47
LCS,construction__materials,2024-06-19 01:07:47
